feature,importance
rev_20d_rank,292.56330275535583
ret_60d,289.67461121082306
ret_120d,140.4783891439438
pcf,81.26575124263763
high_low_250d,73.14909982681274
std_60d_rank,72.0610294342041
std_20d,56.552610039711
pe_rank,56.12434005737305
pcf_rank,54.83637034893036
pb,54.71655035018921
ret_5d,46.28649973869324
vol_ratio_20d_rank,42.16440999507904
roe_rank,42.15416061878204
pe,40.92830049991608
ret_20d,40.572670459747314
risk_adj_ret_20d_rank,40.30730962753296
pb_rank,39.706639885902405
std_60d,36.487799882888794
turn_20d,35.669870138168335
ps_rank,34.622469782829285
ps,33.02330982685089
risk_adj_ret_20d,31.342010140419006
vol_std_20d_rank,31.156310081481934
vol_std_20d,30.558969855308533
roe,29.489149928092957
std_20d_rank,26.363420128822327
high_low_250d_rank,24.905519604682922
vol_ratio_20d,24.119830012321472
np_growth,22.948879957199097
turn_20d_rank,21.224770069122314
np_growth_rank,19.262609839439392
rev_5d_rank,15.766350030899048
